Variable,High_Mean,Low_Mean,Difference,t,p,Cohen_d
Sprint_20m_Best,3.272727272727273,3.391818181818182,-0.11909090909090914,-2.657031369505347,0.01612251051415004,-1.1329619827157373
HQ_Ratio,51.98318181818181,57.59954545454547,-5.616363636363658,-2.0775322877685207,0.050879734326361406,-0.8858627440083175
CODD_Rel,66.03283114420448,61.52198978182944,4.510841362375039,1.4694179268511425,0.1573897824586433,0.6265619092608791
