predictor,outcome,r,p,n
Rel_Peak_Ext_Torque,Sprint_20m_Best,-0.6998392132790112,0.00028833991236249077,22
Rel_Peak_Ext_Torque,ZigZag_Best,-0.012841898845122388,0.9547682859194156,22
Rel_Peak_Ext_Torque,CODD_Rel,0.547319636082702,0.008379964602156682,22
HQ_Ratio,Sprint_20m_Best,0.3489840455963662,0.11141846017901896,22
HQ_Ratio,ZigZag_Best,0.0400467689182972,0.8595539138370416,22
HQ_Ratio,CODD_Rel,-0.25205069128978086,0.2578010739897935,22
RSI_DJ30,Sprint_20m_Best,-0.4647540150747768,0.029312277083858782,22
RSI_DJ30,ZigZag_Best,0.010486848653041819,0.9630571527123682,22
RSI_DJ30,CODD_Rel,0.37615743885232145,0.08446061303767376,22
